Time,Total,East,West
0,16.66260163,6.949864499,9.712737127
1,9.669376694,4.306233062,5.363143631
2,6.270491803,2.93579235,3.334699454
3,3.62195122,1.83197832,1.7899729
4,4.024390244,1.655826558,2.368563686
5,7.540650407,4.078590786,3.462059621
6,17.37262873,8.226287263,9.146341463
7,33.04200542,17.24119241,15.80081301
8,61.1097561,32.21409214,28.89566396
9,82.90108401,43.63685637,39.26422764
10,100.4200542,53.73848238,46.68157182
11,120.6409214,62.96341463,57.67750678
12,132.8888889,68.87940379,64.00948509
13,139.4796748,71.56097561,67.91869919
14,141.3780488,72.64769648,68.7303523
15,139.3577236,71.29539295,68.06233062
16,129.3252033,65.90243902,63.42276423
17,108.3685637,54.63685637,53.73170732
18,84.20325203,42.73577236,41.46747967
19,56.92682927,28.17750678,28.74932249
20,41.90243902,19.89159892,22.01084011
21,29.88075881,13.95528455,15.92547425
22,22.6897019,10.2100271,12.4796748
23,17.99593496,7.432249322,10.56368564
